mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	2/4	3	1	a.V7{		a	i		V7		V		7					{	Mm7	1	1	1, 5, 2, -1		1	1
1	1	1	1	1.0	1/4	1/4	2/4	3	1	V7(#6#42)		a	i		V7(#6#42)		V		7	#6#42					Mm7	1	1	-4, 5, 7, 4		1	-4
2	2	2	2	1.0	0	0	2/4	3	1	V7		a	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
2	2	3	3	1.0	1/4	1/4	2/4	3	1	V7(#6#42)		a	i		V7(#6#42)		V		7	#6#42					Mm7	1	1	-4, 5, 7, 4		1	-4
3	3	4	4	2.0	0	0	2/4	3	1	V7(b10)		a	i		V7(b10)		V		7	b10					Mm7	1	1	1, 5, 2, -1	-2	1	1
4	4	6	6	1.5	0	0	2/4	3	1	V7(9)|HC}		a	i		V7(9)		V		7	9			HC	}	Mm7	1	1	1, 5, 2, -1	-4	1	1
4	4	15/2	15/2	0.5	3/8	3/8	2/4	3	1	i{		a	i		i		i							{	m	1	1	0, -3, 1		0	0
5	5	8	8	0.5	0	0	2/4	3	1	V/iv		a	i		V/iv		V				iv				M	1	1	0, 4, 1		0	0
5	5	17/2	17/2	0.5	1/8	1/8	2/4	3	1	iv64		a	i		iv64		iv		64						m	1	1	0, -1, -4		-1	0
5	5	9	9	0.5	1/4	1/4	2/4	3	1	bII6/iv		a	i		bII6/iv		bII		6		iv				M	1	1	-2, -5, -6		-6	-2
5	5	19/2	19/2	0.5	3/8	3/8	2/4	3	1	iv/iv	bIIM65/iv	a	i		iv/iv		iv				iv				m	1	1	-2, -5, -1		-2	-2
6	6	10	10	0.5	0	0	2/4	3	1	V/iv		a	i		V/iv		V				iv				M	1	1	0, 4, 1		0	0
6	6	21/2	21/2	0.5	1/8	1/8	2/4	3	1	iv64		a	i		iv64		iv		64						m	1	1	0, -1, -4		-1	0
6	6	11	11	0.5	1/4	1/4	2/4	3	1	III(#2)/iv		a	i		III(#2)/iv		III			#2	iv				M	1	1	-4, 5, -3		-4	-4
6	6	23/2	23/2	0.5	3/8	3/8	2/4	3	1	III/iv		a	i		III/iv		III				iv				M	1	1	-4, 0, -3		-4	-4
7	7	12	12	0.5	0	0	2/4	3	1	iio6/iv		a	i		iio6/iv		ii	o	6		iv				o	1	1	-2, -5, 1		1	-2
7	7	25/2	25/2	0.5	1/8	1/8	2/4	3	1	iv		a	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
7	7	13	13	0.5	1/4	1/4	2/4	3	1	III(#2)/iv		a	i		III(#2)/iv		III			#2	iv				M	1	1	-4, 5, -3		-4	-4
7	7	27/2	27/2	0.5	3/8	3/8	2/4	3	1	III/iv		a	i		III/iv		III				iv				M	1	1	-4, 0, -3		-4	-4
8	8	14	14	0.5	0	0	2/4	3	1	iv6(9b6)		a	i		iv6(9b6)		iv		6	9b6					m	1	1	-4, -5, -1	1	-1	-4
8	8	29/2	29/2	0.5	1/8	1/8	2/4	3	1	iv6		a	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
8	8	15	15	0.5	1/4	1/4	2/4	3	1	iv(#4)		a	i		iv(#4)		iv			#4					m	1	1	-1, -4, 5		-1	-1
8	8	31/2	31/2	0.5	3/8	3/8	2/4	3	1	iv7		a	i		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
9	9	16	16	0.5	0	0	2/4	3	1	VII7/iv		a	i		VII7/iv		VII		7		iv				Mm7	1	1	-3, 1, -2, -5		-3	-3
9	9	33/2	33/2	0.5	1/8	1/8	2/4	3	1	iv		a	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
9	9	17	17	1.0	1/4	1/4	2/4	3	1	#iv[#viio7		a	i	#iv	#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
10	10	18	18	1.5	0	0	2/4	3	1	viio7/V		a	i		viio7/V		vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
10	10	39/2	39/2	0.5	3/8	3/8	2/4	3	1	Fr65]	V43(#5)/III]	a	i		Fr65	Fr	V		65	b5	V	]			Fr	1	1	6, -4, 0, 2		2	6
11	11	20	20	1.0	0	0	2/4	3	1	III6		a	i		III6		III		6						M	1	1	1, -2, -3		-3	1
11	11	21	21	0.5	1/4	1/4	2/4	3	1	iv/III		a	i		iv/III		iv				III				m	1	1	-4, -7, -3		-4	-4
11	11	43/2	43/2	0.5	3/8	3/8	2/4	3	1	viio65/V	viio7/V/III	a	i		viio65/V		vii	o	65		V				o7	1	1	3, 0, -3, 6		6	3
12	12	22	22	0.5	0	0	2/4	3	1	V/III	VII	a	i		V/III		V				III				M	1	1	-2, 2, -1		-2	-2
12	12	45/2	45/2	0.5	1/8	1/8	2/4	3	1	bII64	VI	a	i		bII64		bII		64						M	1	1	-4, -5, -1		-5	-4
12	12	23	23	1.0	1/4	1/4	2/4	3	1	V|HC}		a	i		V		V						HC	}	M	1	1	1, 5, 2		1	1
12	12	47/2	47/2	0.0	3/8	3/8	2/4	3	1	{		a	i											{		1	1				
13	13	24	24	0.5	0	0	2/4	3	1	V7(4)/V		a	i		V7(4)/V		V		7	4	V				Mm7	1	1	2, 1, 3, 0		2	2
13	13	49/2	49/2	0.5	1/8	1/8	2/4	3	1	V7/V		a	i		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
